"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","home_run","strikeout","walk","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","p_earned_run","p_out","p_win","p_loss","p_era","p_quality_start","woba","z_swing_percent","z_swing_miss_percent","oz_swing_miss_percent","out_zone_percent","n","fastball_avg_speed"
"Syndergaard, Noah","592789","2022","29","25","134.2","565","525","138","14","95","31",16.8,".263",".408",".307","0.715","59","404","10","10","3.94","9",".312",69.6,14.8,33.3,48.8,"2021","93.5"
"Anderson, Tyler","542881","2022","32","30","178.2","707","657","145","14","138","34",19.5,".221",".350",".267","0.617","51","536","15","5","2.57","18",".271",68.9,17.5,38.4,48.1,"2576","88.9"
"Strider, Spencer","675911","2022","23","31","131.2","528","478","86","7","202","45",38.3,".180",".264",".254","0.518","39","395","11","5","2.67","10",".235",68.3,26.3,54.7,48.9,"2277","98.2"
"Pérez, Martín","527048","2022","31","32","196.1","821","738","178","11","169","69",20.6,".241",".336",".310","0.646","63","589","12","8","2.89","23",".289",65.1,16,30.5,55,"2979","91.6"
"Lauer, Eric","641778","2022","27","29","158.2","661","592","135","27","157","59",23.8,".228",".410",".298","0.708","65","476","11","7","3.69","13",".310",65.5,19.6,35.8,48.9,"2676","92.2"
"Ohtani, Shohei","660271","2022","27","28","166.0","660","610","124","14","219","44",33.2,".203",".316",".258","0.574","43","498","15","9","2.33","16",".255",68.2,22.6,59.5,48.6,"2629","95.8"
"Lynn, Lance","458681","2022","35","21","121.2","512","481","119","19","124","19",24.2,".247",".407",".289","0.696","54","365","8","7","3.99","11",".304",74.9,21.9,44.5,50.6,"2022","91.4"
"Keller, Mitch","656605","2022","26","31","159.0","687","609","162","14","138","60",20.1,".266",".388",".342","0.730","69","477","5","12","3.91","13",".323",65.2,14.6,38.4,49.9,"2661","95.1"
"Cole, Gerrit","543037","2022","31","33","200.2","793","738","154","33","257","50",32.4,".209",".390",".260","0.650","78","602","13","8","3.50","21",".283",65.8,23,53.7,52.9,"3274","97.1"
"Springs, Jeffrey","605488","2022","29","33","135.1","549","513","114","14","144","31",26.2,".222",".353",".267","0.620","37","406","9","5","2.46","6",".272",66.2,23.1,40.8,51.6,"2149","91.4"
