,answer
0,"['안녕하세요홈택스에서 직접 귀속월을 다르게 수정 신고하려면A귀속의 자료를 0원으로 수정하는 신고를 하고,새롭게 B귀속의 자료를 접수하여야 합니다.나중인 B만 새로 신고할 경우, A B가 모두 접수된 상태이므로결국 200만원이 모두 기록이 남아있게 됩니다.현재 두가지가 모두 전산에 남아있다면,상황은 이렇게 된 것으로 예상됩니다.먼저신고되었던 A귀속월을 수정신고로 다시 금액만 0원으로 하여 접수하거나별도로 삭제 요청을 하여야 하겠습니다.(이는 인건비를 신고한 회사에서 할 일입니다.)더 자세한 사항이 궁금하실 경우홈택스나 관할세무서에 문의해 보시는 것을 추천드립니다.-']"
1,"['저도 한참 찾아 헤맸는데, 여기 보니까. 상세한 방법이 있네요.참고하세요.https://m.site.naver.com/1txDf퇴직소득 원천징수영수증 인터넷 발급 방법 2024년 버전 - 인생 더하기 팁(Tip Plus)퇴직소득 원천징수영수증은 근로자가 퇴직 시 발생한 소득에 대해 원천징수된 세금 내역을 증명하는 중요한 서류입니다. 이번 포스팅에서는 국세청 홈택스 웹사이트를 통해 퇴직소득 원천징수영수증 인터넷 발급 방법을 단계별로 상세히 설명드리겠습니다. 이 영수증은 퇴직금 정산, 세금 신고,m.site.naver.com', '손택스에서는 모르겠고홈택스에서는 메인화면에서 -> 우측의 my홈택스 -> 연말정산/지급명세서 -> 지급명세서등 제출내역으로 들어가면 조회할 수 있습니다.', '손택스에서MY홈택스->연말정산간소화·지급명세서->지급명세서(원천징수영수증)조회에서 확인 가능합니다.홈택스에서는MY홈택스->연말정산간소화·지급명세서->지급명세서등 제출내역에서 확인 가능합니다.']"
2,[]
3,"['질문)홈택스로 현금영수증 발행하고나서 취소 가능한가요?가능하면 기간이 정해져있나요?답변)홈택스에서 발행한 현금영수증은 취소가 가능합니다. 일반적으로 현금영수증 발행 후 5년 이내에 취소 요청을 할 수 있습니다. 취소는 홈택스 웹사이트나 모바일 앱을 통해 가능하며, 취소 사유를 입력해야 할 수 있습니다. 정확한 내용은 홈택스 고객센터나 공식 웹사이트를 통해 확인하는 것이 좋습니다.답변이 마음에 드셨다면, 채택한번 부탁드리겠습니다! ㅎㅎ', '홈택스에서 발행한 현금영수증은 발행 후 24시간 이내에 취소할 수 있습니다. 기간이 지나면 취소가 불가능하니, 신속하게 처리하는 것이 중요합니다.', ""홈택스에서 발행한 현금영수증은 취소가 가능합니다. 취소는 발행일로부터 5년 이내에 가능하며, 취소를 원할 경우 홈택스에 로그인한 후 '현금영수증' 메뉴에서 '발행내역 조회'를 통해 해당 영수증을 선택하고 취소할 수 있습니다.""]"
4,"['안녕하세요. 한국세무사회-네이버 지식iN 상담 세무사 정석준 입니다.법인은 개인과는 구분되는 별도의 주체입니다. 개인의 주민등록번호처럼 법인도 법인 등기부등본상 법인등록번호가 따로 있습니다. 홈택스에서도 법인의 공인인증서를 발급받아 별도로 가입하여야 합니다. 또한 개인의 종합소득세 신고는 5월에 진행되지만, 법인사업자는 종합소득세 신고를 하는 것이 아니고, 법인세 신고를 3월에 진행하게 됩니다.도움이 되셨기를 바랍니다.감사합니다.* 답변 채택은 더 전문적인 답변을 드리는데 큰 힘이 됩니다.']"
5,['안녕하세요. 안세회계법인 센트럴지점입니다.www.exceltax.co.kr해당질문에 대해 답변드립니다.-> 보통 다음날 조회가 됩니다* 발급시 홈택스 등록한 휴대전화번호로 발급받은 거래인가요?감사합니다 !좋은 하루 되시길 바랍니다.']
6,"['아닙니다~수정발급의 경우 수정 사유가 발생한 날까지 발급을 하면가산세 없습니다~발행기준 10일 이런 기준은 없습니다~10월 8일 계산서 발급 후 실수를 인지하고 17일 발행취소를 했다면가산세는 상관없습니다~', '수정세금계산서는 정당한 사유와 사유에 맞는 방법으로 발급하면 문제 없습니다.수정사유별로 사유에 맞는 발급방법과 발급기한에 차이가 있으므로 아래의 내용을 참고하여 수정세금계산서를 발급하면 됩니다.수정사유별 발급방법, 작성일자, 발급기한- 기재사항 착오 정정 : 세금계산서에 꼭 기입해야 하는 사업자등록번호, 작성일자, 공급가액, 부가세액 등을 잘못 적었을 경우* 발급방법 : 당초 발급 건의 마이너스 세금계산서 1장과 정확한 세금계산서 1장 발급* 작성일자 : 당초 세금계산서 작성일자* 발급기한 : 착오사실을 인식한 날- 착오에 의한 이중발급 : 전자세금계산서를 발급하지 않아야 하는데 착오로 발급하거나 이중으로 발급한 경우* 발급방법 : 당초 발급 건의 마이너스 세금계산서 1장 발급* 작성일자 : 당초 세금계산서 작성일자* 발급기한 : 착오사실을 인식한 날- 공급가액 변동 : 가격 상승 또는 할인으로 거래했던 금액이 달라지는 경우* 발급방법 : 증감되는 분에 대하여 플러스 또는 마이너스 세금계산서 1장 발급(비고란에 당초 세금계산서의 작성일자 기재)* 작성일자 : 변동사유 발생일* 발급기한 : 변동사유 발생일 다음 달 10일까지 발급- 계약의 해제 : 계약이 해제되어 재화나 용역이 공급되지 않은 경우* 발급방법 : 당초 발급 건의 마이너스 세금계산서 1장 발급(비고란에 당초 세금계산서의 작성일자 기재)* 작성일자 : 계약의 해제일* 발급기한 : 계약의 해지일 다음 달 10일까지 발급- 환입 : 거래 완료 후 거래처에서 반품을 요청한 경우* 발급방법 : 환입(반품) 금액분에 대하여 마이너스 세금계산서 1장 발급(비고란에 당초 세금계산서의 작성일자 기재)* 작성일자 : 환입(반품)된 날* 발급기한 : 환입(반품)된 날 다음 달 10일까지 발급- 내국신용장 등 사후 개설 : 거래처에서 공급받은 물건을 해외로 수출한 경우* 발급방법 : 마이너스 세금계산서 1장과 영세율 세금계산서 1장 발급* 작성일자 : 당초 세금계산서 작성일자* 발급기한 : 내국신용장 개설일 다음 달 10일까지 발급 (과세기간 종료 후 25일 이내에 개설된 경우 25일까지 발급)1위 전자세금계산서 스마트빌에서는 국세청 연동, 대량전송, API 등 웹부터 ERP 연동구축까지 간편하고 쉬운 전자세금계산서 업무가 가능합니다.https://www.smartbill.co.kr/']"
7,"['사업자등록자체를 의뢰하셨다면, 사업자상태조회를 해보시거나 사업자등록증을 떼면 기본적인 정보들이 나오고, 세금신고관련은 개인사업자고 현 시점으로 과거 2달이라면 홈택스에 신고한 부분은 인건비신고(원천세신고)밖에 없지않을까 싶구요. 기장을 맡기셨다면 신고서나 납부관련서류를 받으셨을겁니다. (아니면 달라고하시면 될거같아요)']"
8,"['안녕하세요. 밤이슬이입니다.세무대리인 아닌 일반인의 자격으로 홈택스 대리신고는 해본봐 없어 알 수 없습니다.일반적으로는 서식에 작성해 방문이나 우편 등 서면신고를 하시면 될 것 같습니다.', '안녕하세요..본인의 인증으로 홈텍스에 들어갈 수가 있습니다.그리하여 자녀의 아이디와 비밀번호로 들어가서 증여세신고는 대리로 할 수는 있습니다.']"
9,"[""안녕하세요. 마승태 세무사입니다.1. 네. 홈택스에 등록을 하시고 사용하셔야 추후 세금신고시 비용처리가 수월합니다.2. 네. 무방합니다.3. 네. 등록을 하신 후 정상적으로 등록이 되었다면 자동으로 전산에 잡힙니다.아래 저희 회사 블로그를 참고하시면 도움이 될 것 입니다.자영업자 대표님들 마곡 세무사가 '사업용 신용카드' 등록하는 방법 알려드립니다!안녕하세요. 마승태 세무사입니다. 오늘도 저희 블로그에 방문해 주셔서 감사합니다^^! 이번에는 개인사업...blog.naver.com답변이 도움되셨기 바랍니다."", '1. 비용처리 받으실거라면 개인카드 등록해서 사용하시기바랍니다.2. 님 명의로 된 신용카드면 상관없습니다.3. 네 자동으로 들어갑니다. 대신 등록일 이전에 사용한 내역은 홈택스에 등록이 되지 않으니등록일 이전에 카드사용금액이 큰 경우 부가세 신고시에 세무사를 통하여 신고하시기 바랍니다.']"
