,0
0,6663
1,6985
2,11163
3,3052
4,4481
5,3455
6,3455
7,3455
8,6751
9,6751
10,4512
11,4512
12,6751
13,3779
14,3847
15,3610
16,3143
17,3779
18,3365
19,2193
20,2039
21,4039
22,4039
23,3686
24,3431
25,3671
26,3480
27,3364
28,3843
29,3797
30,2075
31,4582
32,4641
33,4695
34,2964
35,2964
36,4263
37,5416
38,3504
39,4463
40,4255
41,4868
42,2761
43,3864
44,3237
45,5161
46,6957
47,2907
48,6092
49,4076
50,4229
51,4827
52,4930
53,2112
54,3402
55,4795
56,5436
57,3455
58,3744
59,4703
60,4392
61,3671
62,4078
63,4544
64,4473
65,3723
66,4256
67,2907
68,3541
69,5864
70,6470
71,6672
72,11070
73,4439
74,5382
75,7108
76,7108
77,7108
78,4894
79,10236
80,8855
81,8855
82,6777
83,6751
84,6751
85,3240
86,4556
87,6751
88,13196
89,13196
90,8953
91,13196
92,8647
93,8647
94,4917
95,4917
96,4291
97,5768
98,6751
99,9241
100,6011
101,5457
102,6751
103,6751
104,10376
105,8497
106,3354
107,3354
108,7080
109,6912
110,5654
111,15152
112,3601
113,5812
114,6214
115,6214
116,10236
117,4586
118,6236
119,6236
120,9829
121,5814
122,7108
123,3473
124,9423
125,5452
126,5436
127,6964
128,4586
129,4016
130,5664
131,8647
132,6963
133,6963
134,5530
135,6751
136,6751
137,7080
138,6525
139,6525
140,6525
141,5249
142,5268
143,5268
144,4883
145,11176
146,11176
147,9423
148,7728
149,7728
150,10436
151,6725
152,3552
153,6525
154,5530
155,6525
156,6525
157,8953
158,6751
159,6751
160,6751
161,3124
162,5268
163,5936
164,8519
165,8519
166,8519
167,8519
168,8519
169,8519
170,9215
171,5688
172,8061
173,6751
174,6751
175,6751
176,7652
177,7008
178,7340
179,6540
180,4555
181,3957
182,4555
183,6540
184,2916
185,6444
186,4508
187,8074
188,8074
189,8074
190,5305
191,4291
192,8074
193,8074
194,12176
195,12176
196,4933
197,3847
198,5384
199,4703
200,4977
201,4678
202,3632
203,3632
204,3332
205,5158
206,5117
207,4331
208,3935
209,2850
210,4675
211,3615
212,3761
213,3393
214,5202
215,3820
216,4048
217,4065
218,5392
219,4411
220,2480
221,3316
222,4286
223,5509
224,3107
225,4006
226,3404
227,4003
228,4142
229,4142
230,5768
231,7122
232,4327
233,5455
234,2930
235,3611
236,4411
237,4137
238,4512
239,4563
240,4048
241,8258
242,4195
243,2852
244,5176
245,5618
246,4999
247,4931
248,4726
249,5826
250,9241
251,3659
252,4851
253,2461
254,3322
255,3322
256,3322
257,2487
258,6332
259,2847
260,4898
261,5165
262,4360
263,4270
264,5789
265,6256
266,5875
267,5875
268,4999
269,4197
270,4483
271,4514
272,3674
273,5273
274,4930
275,4704
276,3825
277,5072
278,6440
279,3152
280,4583
281,2964
282,4276
283,5139
284,3689
285,4570
286,6034
287,4392
288,4761
289,4761
290,4775
291,5476
292,3846
293,4142
294,3583
295,6395
296,4248
297,3940
