,지역
0,서울시 강남구
1,경기도 성남시 수정구
2,서울시 영등포구
3,서울시 강남구
4,강동구
5,광진구
6,성동구
7,서초구
8,송파구
9,용산구
10,동작구
11,서울전지역
12,경기도 성남시 분당구
13,성남시 수정구
14,성남시 중원구
15,서울시 서초구
16,서울시 강남구
17,서울시 구로구
18,경기도 수원시 영통구
19,서울시 강남구
20,경기도 수원시 영통구
21,서울시 금천구
22,중구
23,경기도 성남시 분당구
24,서울시 금천구
25,중구
26,경기도 성남시 분당구
27,서울시 강남구
28,서울시 서초구
29,서울시 강남구
30,서울시 강남구
31,서울시 강남구
32,서울시 구로구
33,서울시 강남구
34,대전시 서구
35,서울시 구로구
36,서울시 중구
37,서울시 영등포구
38,서울시 서초구
39,서울시 중구
40,대전시 유성구
41,서울시 서초구
42,경기도 고양시 일산동구
43,경기도 성남시 분당구
44,하남시
45,서울시 강남구
46,서울시 마포구
47,서울시 강남구
48,서울시 강남구
49,충북 충주시
50,경기도 성남시 수정구
51,서울시 강남구
52,서울시 양천구
53,경기도 고양시 덕양구
54,서울시 강서구
55,서울시 중구
56,서울시 송파구
57,서울전지역
58,충북 청주시 서원구
59,서울시 강남구
60,서울시 금천구
61,경기도 화성시
62,인천시 서구
63,서울시 강남구
64,서울시 송파구
65,서울시 구로구
66,서울시 송파구
67,서울시 서초구
68,경기도 용인시 기흥구
69,서울시 강남구
70,서울전지역
71,경기전지역
72,서울시 영등포구
73,대전시 유성구
74,경기도 과천시
75,경기도 고양시 일산동구
76,경기도 안양시 동안구
77,서울시 금천구
78,서울시 서초구
79,서울시 서초구
80,서울시 금천구
81,경기도 성남시 분당구
82,서울시 금천구
83,경기도 수원시 영통구
84,여주시
85,서울시 서초구
86,인천시 연수구
87,강원도 원주시
88,서울시 마포구
89,서울전지역
90,서울시 강남구
91,충남 천안시 동남구
92,경기도 성남시 수정구
93,북아메리카 멕시코
94,남아메리카 브라질
95,아시아·중동 인도
96,서울시 종로구
97,경기도 성남시 분당구
98,경기도 성남시 분당구
99,서울시 강서구
100,서울시 금천구
101,서울시 영등포구
102,서울시 동작구
103,서울시 동작구
104,서울시 동작구
105,부산 부산진구
106,서울시 영등포구
107,서울시 금천구
108,서울시 구로구
109,서울시 송파구
110,전국
111,경기도 성남시 분당구
112,경북 구미시
113,경북 구미시
114,서울시 송파구
115,서울시 금천구
116,서울시 송파구
117,서울시 강남구
118,강서구
119,구로구
120,관악구
121,금천구
122,영등포구
123,경기도 성남시 분당구
124,서울시 강남구
125,서울시 서초구
126,서울시 서초구
127,대전시 유성구
128,경기도 성남시 분당구
129,경기도 성남시 분당구
130,경기도 성남시 분당구
131,서울시 강남구
132,서울시 강남구
133,경기도 성남시 분당구
134,서울시 용산구
135,서울시 구로구
136,서울시 구로구
137,서울시 구로구
138,관악구
139,충남 공주시
140,경기도 성남시 분당구
141,경기도 성남시 분당구
142,서울시 중구
143,경기도 성남시 분당구
144,경기도 성남시 분당구
145,경기도 성남시 분당구
146,경기도 수원시 영통구
147,용인시 기흥구
148,경남 창원시 성산구
149,서울시 금천구
150,서울시 양천구
151,서울시 양천구
152,서울시 용산구
153,서울시 중구
154,서울시 강남구
155,서울시 강남구
156,경기도 성남시 중원구
157,경기도 성남시 중원구
158,경북 구미시
159,경기도 성남시 분당구
160,서울시 동작구
161,경기도 성남시 분당구
162,서울시 중구
163,서울시 중구
164,경기도 성남시 수정구
165,서울시 영등포구
166,서울시 강남구
167,서울시 서초구
168,서울시 성동구
169,서울시 구로구
170,서울시 구로구
171,서울시 서초구
172,경기도 성남시 분당구
173,성남시 수정구
174,성남시 중원구
175,서울시 중구
176,경기도 성남시 분당구
177,인천시 서구
178,서울시 강남구
179,경기도 성남시 분당구
180,경기도 성남시 분당구
181,성남시 수정구
182,성남시 중원구
183,서울시 동작구
184,서울시 용산구
